,hiddenLayerOne,learnRate,hiddenLayerTwo,hiddenLayerThree,hiddenLayerFour,hiddenLayerFive,hiddenLayerSix,hiddenLayerSeven,hiddenLayerEight,dropout,epochs,batchs,regul,accuracy,AUC,recall,precision,F1,meanRec,meanAcc,meanPrec,meanAUC,meanF1
95,3,0.004,5,5,5,5,5,5,3,0.1,20,32,0.0,[0.87777781 0.87777781 0.78888893 0.83333337 0.7977528 ],[0.89197528 0.90972221 0.81460088 0.88569516 0.87313437],[0.77777779 1.         0.64705884 0.9545455  1.        ],[0.66666669 0.6857143  0.75862068 0.60000002 0.55000001],[0.71794872 0.81355932 0.6984127  0.73684211 0.70967742],0.8758764266967773,0.8351061463356018,0.6522003412246704,0.8750255823135376,0.7352880526026622
62,2,0.004,4,5,4,5,4,5,2,0.1,20,16,0.0,[0.82222223 0.82222223 0.80000001 0.84444445 0.80898875],[0.85841048 0.88541669 0.81959033 0.88402408 0.83107191],[0.72222221 0.875      0.85294116 0.90909094 0.81818187],[0.54166669 0.61764705 0.69047618 0.625      0.58064514],[0.61904762 0.72413793 0.76315789 0.74074074 0.67924528],0.8354872345924378,0.8195755362510682,0.6110870122909546,0.8557026982307434,0.7052658937157105
87,3,0.007,5,5,5,5,5,5,3,0.1,20,32,0.0,[0.80000001 0.84444445 0.78888893 0.82222223 0.7977528 ],[0.85108024 0.92992425 0.83377099 0.86062837 0.85956579],[0.6111111  1.         0.82352942 0.81818187 0.86363637],[0.5        0.63157892 0.68292683 0.60000002 0.55882353],[0.55       0.77419355 0.74666667 0.69230769 0.67857143],0.8232917547225952,0.8106616854667663,0.5946658611297607,0.8669939279556275,0.6883478671865768
15,2,0.004,5,4,5,4,5,4,2,0.1,20,32,0.0,[0.80000001 0.85555559 0.83333337 0.78888893 0.77528089],[0.5        0.8791036  0.84558821 0.82553488 0.83955228],[0.         0.79166669 0.91176468 0.72727275 0.90909094],[0.         0.7037037  0.72093022 0.55172414 0.52631581],[0.         0.74509804 0.80519481 0.62745098 0.66666667],0.6679590106010437,0.8106117606163025,0.5005347728729248,0.7779557943344116,0.5688820982938629
12,2,0.004,5,4,5,4,5,4,2,0.1,10,16,0.0,[0.82222223 0.87777781 0.78888893 0.80000001 0.75280899],[0.86458325 0.93592179 0.79569328 0.86864966 0.5       ],[0.8888889  0.95833337 0.79411763 0.90909094 0.        ],[0.53333336 0.69696975 0.69230771 0.55555558 0.        ],[0.66666667 0.80701754 0.73972603 0.68965517 0.        ],0.7100861668586731,0.8083395957946777,0.4956332802772522,0.7929695963859558,0.5806130820674739
89,3,0.004,5,5,5,5,5,5,3,0.0,10,32,0.0,[0.84444445 0.73333335 0.78888893 0.85555559 0.80898875],[0.88464504 0.5        0.79910719 0.77640373 0.82394844],[0.83333331 0.         0.7647059  0.63636363 0.86363637],[0.57692307 0.         0.7027027  0.7368421  0.57575762],[0.68181818 0.         0.73239437 0.68292683 0.69090909],0.6196078419685364,0.8062422156333924,0.518445098400116,0.7568208813667298,0.5576096936385497
121,3,0.004,4,5,4,5,4,5,3,0.0,10,32,0.0,[0.81111115 0.82222223 0.76666671 0.85555559 0.77528089],[0.87847227 0.87373745 0.85346633 0.91276741 0.84396201],[0.77777779 1.         0.88235295 0.9545455  0.9545455 ],[0.51851851 0.60000002 0.63829792 0.63636363 0.52500004],[0.62222222 0.75       0.74074074 0.76363636 0.67741935],0.9138443470001221,0.8061673164367675,0.5836360216140747,0.8724810957908631,0.7108037362876074
46,2,0.004,4,4,4,4,4,4,2,0.1,20,16,0.0,[0.86666667 0.82222223 0.78888893 0.80000001 0.75280899],[0.88348758 0.86489904 0.86449575 0.85193849 0.82530534],[0.83333331 0.91666669 0.91176468 0.9545455  0.9545455 ],[0.625      0.6111111  0.65957451 0.55263156 0.5       ],[0.71428571 0.73333333 0.7654321  0.7        0.65625   ],0.9141711354255676,0.8061173677444458,0.5896634340286255,0.8580252408981324,0.713860229276896
94,3,0.004,5,5,5,5,5,5,3,0.1,20,16,0.0,[0.78888893 0.82222223 0.78888893 0.84444445 0.77528089],[0.79668212 0.88352275 0.83167017 0.88435835 0.81512898],[0.55555558 0.91666669 0.88235295 0.86363637 0.86363637],[0.47619048 0.6111111  0.66666669 0.63333338 0.52777779],[0.51282051 0.73333333 0.75949367 0.73076923 0.65517241],0.8163695931434631,0.8039450883865357,0.5830158889293671,0.8422724723815918,0.6783178323204513
84,3,0.007,5,5,5,5,5,5,3,0.1,10,16,0.0,[0.83333337 0.85555559 0.78888893 0.77777779 0.76404494],[0.8815586  0.93308079 0.82956928 0.8556149  0.85481685],[0.83333331 0.91666669 0.7647059  0.90909094 0.86363637],[0.55555558 0.66666669 0.7027027  0.52631581 0.51351351],[0.66666667 0.77192982 0.73239437 0.66666667 0.6440678 ],0.8574866414070129,0.8039201259613037,0.5929508566856384,0.8709280848503113,0.6963450641404179
101,3,0.007,4,4,4,4,4,4,3,0.1,10,32,0.0,[0.77777779 0.81111115 0.78888893 0.80000001 0.83146065],[0.8375771  0.88762629 0.84558821 0.83656412 0.86804616],[0.66666669 0.95833337 0.94117647 0.90909094 0.86363637],[0.46153849 0.58974361 0.65306121 0.55555558 0.61290324],[0.54545455 0.73015873 0.77108434 0.68965517 0.71698113],0.8677807688713074,0.8018477082252502,0.5745604276657105,0.8550803780555725,0.6906667834903876
81,3,0.007,5,5,5,5,5,5,3,0.0,10,32,0.0,[0.84444445 0.81111115 0.74444449 0.78888893 0.8202247 ],[0.82561725 0.86174244 0.82116598 0.82987976 0.9063772 ],[0.72222221 0.95833337 0.79411763 0.86363637 0.9545455 ],[0.59090912 0.58974361 0.62790698 0.54285717 0.58333331],[0.65       0.73015873 0.7012987  0.66666667 0.72413793],0.8585710167884827,0.8018227458000183,0.5869500398635864,0.8489565253257751,0.6944524058317161
88,3,0.004,5,5,5,5,5,5,3,0.0,10,16,0.0,[0.87777781 0.82222223 0.73333335 0.80000001 0.77528089],[0.85879624 0.89709592 0.72400212 0.85561502 0.84531879],[0.5        0.875      0.64705884 1.         1.        ],[0.81818187 0.61764705 0.64705884 0.55000001 0.52380955],[0.62068966 0.72413793 0.64705882 0.70967742 0.6875    ],0.804411768913269,0.8017228603363037,0.6313394665718078,0.8361656188964843,0.6778127658182294
63,2,0.004,4,5,4,5,4,5,2,0.1,20,32,0.0,[0.87777781 0.85555559 0.73333335 0.77777779 0.76404494],[0.95408946 0.89741164 0.7844013  0.83756685 0.89043421],[0.77777779 1.         0.7352941  0.90909094 0.81818187],[0.66666669 0.64864868 0.625      0.52631581 0.51428574],[0.71794872 0.78688525 0.67567568 0.66666667 0.63157895],0.8480689406394959,0.8016978979110718,0.5961833834648133,0.872780692577362,0.695751050712224
105,3,0.004,4,4,4,4,4,4,3,0.0,10,32,0.0,[0.83333337 0.85555559 0.77777779 0.78888893 0.74157304],[0.89351857 0.94034094 0.8329832  0.88870323 0.8212347 ],[0.83333331 1.         0.85294116 0.9545455  0.81818187],[0.55555558 0.64864868 0.65909094 0.53846157 0.48648649],[0.66666667 0.78688525 0.74358974 0.68852459 0.61016949],0.8918003678321839,0.799425745010376,0.577648651599884,0.875356125831604,0.6991671475694816
117,3,0.007,4,5,4,5,4,5,3,0.1,10,32,0.0,[0.85555559 0.81111115 0.77777779 0.76666671 0.77528089],[0.90432096 0.87973481 0.79674369 0.75367641 0.89823616],[0.83333331 0.875      0.7647059  0.63636363 0.9545455 ],[0.59999996 0.60000002 0.68421054 0.51851851 0.52500004],[0.69767442 0.71186441 0.72222222 0.57142857 0.67741935],0.8127896666526795,0.7972784280776978,0.585545814037323,0.8465424060821534,0.6761217947747632
124,3,0.004,4,5,4,5,4,5,3,0.1,10,16,0.0,[0.86666667 0.81111115 0.75555557 0.82222223 0.73033708],[0.90972221 0.88636363 0.79989499 0.86998665 0.83955222],[0.66666669 1.         0.70588237 0.81818187 1.        ],[0.66666669 0.58536589 0.66666669 0.60000002 0.47826087],[0.66666667 0.73846154 0.68571429 0.69230769 0.64705882],0.8381461858749389,0.7971785426139831,0.599392032623291,0.8611039400100708,0.686041801335919
100,3,0.007,4,4,4,4,4,4,3,0.1,10,16,0.0,[0.86666667 0.85555559 0.77777779 0.80000001 0.68539327],[0.91396612 0.91287875 0.81827736 0.86764705 0.76933521],[0.77777779 0.75       0.7647059  1.         0.86363637],[0.63636363 0.71999997 0.68421054 0.55000001 0.43181819],[0.7        0.73469388 0.72222222 0.70967742 0.57575758],0.831224012374878,0.7970786690711975,0.6044784665107727,0.8564208984375,0.6884702189771315
80,3,0.007,5,5,5,5,5,5,3,0.0,10,16,0.0,[0.84444445 0.85555559 0.74444449 0.75555557 0.77528089],[0.91666669 0.86047971 0.81328785 0.5        0.88025784],[1.         0.875      0.70588237 0.         0.9545455 ],[0.5625     0.6774193  0.64864868 0.         0.52500004],[0.72       0.76363636 0.67605634 0.         0.67741935],0.7070855736732483,0.7950562000274658,0.4827136039733887,0.7941384196281434,0.5674224113006485
83,3,0.007,5,5,5,5,5,5,3,0.0,20,32,0.0,[0.83333337 0.83333337 0.76666671 0.77777779 0.76404494],[0.78703707 0.87121218 0.84086138 0.83756685 0.84871095],[0.6111111  0.70833337 0.82352942 0.9545455  0.90909094],[0.57894737 0.68000001 0.6511628  0.52500004 0.51282054],[0.59459459 0.69387755 0.72727273 0.67741935 0.6557377 ],0.801322066783905,0.7950312376022339,0.5895861506462097,0.8370776891708374,0.6697803865288945
127,3,0.004,4,5,4,5,4,5,3,0.1,20,32,0.0,[0.80000001 0.85555559 0.78888893 0.77777779 0.75280899],[0.5        0.92045456 0.83718479 0.69251335 0.5       ],[0.         0.91666669 0.79411763 0.54545456 0.        ],[0.         0.66666669 0.69230771 0.54545456 0.        ],[0.         0.77192982 0.73972603 0.54545455 0.        ],0.451247775554657,0.795006263256073,0.38088579177856446,0.6900305390357971,0.41142207948264176
110,3,0.004,4,4,4,4,4,4,3,0.1,20,16,0.0,[0.83333337 0.84444445 0.80000001 0.75555557 0.74157304],[0.83063269 0.91130054 0.82274157 0.77840912 0.83989143],[0.5        0.79166669 0.7647059  0.63636363 0.9545455 ],[0.60000002 0.67857146 0.72222221 0.5        0.48837209],[0.54545455 0.73076923 0.74285714 0.56       0.64615385],0.7294563412666321,0.7949812889099122,0.5978331565856934,0.836595070362091,0.645046953046953
44,2,0.004,4,4,4,4,4,4,2,0.1,10,16,0.0,[0.81111115 0.76666671 0.80000001 0.80000001 0.78651685],[0.8287037  0.8510102  0.84269959 0.86764705 0.90162826],[0.5        0.79166669 0.91176468 1.         0.9545455 ],[0.52941179 0.54285717 0.67391306 0.55000001 0.53846157],[0.51428571 0.6440678  0.775      0.70967742 0.68852459],0.8315953731536865,0.7928589463233948,0.5669287204742431,0.8583377599716187,0.6663111040829313
