num_in_trans,num_out_trans,avg_trans_out,avg_trans_in,sum_trans_in,max_trans_out,max_trans_in,std_trans_in,std_trans_out,min_trans_out,min_trans_in,unique_tpartn_out,unique_tpartn_in,avg_transcost_out,avg_transcost_in,max_transcost_out,std_transcost_out,duration_out,num_in_trans_1neighb,avg_oneNightStands_out,avg_oneNightStands_in,max_tx_out_neighb,max_tx_in_neighb,sum_tx_in_neighb,sum_tx_out_neighb,std_tx_out_neighb,unique_tx_out_neighb,avg_txcost_out_neighb,max_txcost_out_neighb,num_in_transERC,num_out_transERC,ERCunique_tpartn_out,ERCunique_tpartn_in,ERCavg_transcost_out,ERCavg_transcost_in,ERCmax_transcost_out,ERC_nb_tkn_tot,high_pressure_sells,high_pressure_buys,0,1,2,3,4,5,6,7
16,56,3567.209057632433,9174.191458367615,146787.06333388182,107350.7230535823,106496.7966216,26246.86504126284,14778.605230707959,1.0120387999999998,13.799690934860092,26,5,12.227714333588102,4.6392210845925,68.4005376864,16.602701296519438,1200.8666666666666,678.375,0.0,0.2,134126.47168452744,426515.3926560221,950444.6673838466,24970.82164290763,24014.992081880497,1.5405405405405406,18.975499394207766,205.1247244122166,16,22,8,12,16.254211947745908,40.52040356469017,68.4005376864,16,1,3,-1.7992678,0.15479906,1.6562008999999998,0.7401694999999999,1.0659442,-2.174852,0.29988727,-0.7416528
139,940,554.1879617996642,2114.968493779932,293980.62063541036,73751.678,55630.20165494001,5845.738748373231,3072.297769285635,2.1501,0.22558472059999998,279,43,12.301435910000894,2.035234122907471,369.39501342744,24.28799536771418,5597.483333333334,1022.2532051282053,0.02491103202846975,0.11904761904761905,111899.44543782713,7176509.8442852525,8033531.320717229,31545.864486056547,74031.02501525932,4.97153024911032,4.111094975991245,46.55630797195853,442,394,169,202,16.43899485284343,75.2252911035765,110.44997066879999,291,10,10,0.09417511,-1.3449434999999998,2.1055212000000005,0.26392445,1.2090263,0.26590353,0.15917659,-0.07487088
76,273,5.926206115861051,19.237264751328322,1462.032121100952,275.5422,285.9565215715998,36.93122823703828,26.22091476587952,0.00526006,0.079061064,133,51,0.1935673491036292,0.3716619067858793,17.165060000000004,1.125141557757638,17178.3,3.736842105263158,0.04195804195804196,0.0,3052.3264839919952,41.153021504352616,23.314713436951187,8945.613246871013,157.14266463738198,10.531468531468533,0.4258400689432652,6.670635010817227,596,51,39,226,0.1247324358056678,1.2251821148877275,1.3362734928199995,248,7,6,-4.2435017,-5.8582405999999985,1.067419,0.26387784,-0.5488538000000001,-1.4211643,2.1080465,0.69027823
5,362,1928.8692632461075,10192.045999999998,50960.23,200229.0,38731.77,16582.685033779362,13490.56882703766,138.7485,190.06,60,5,21.660494473077026,7.378743506009027,133.2545007864,22.100914762794762,938.9333333333333,4.0,0.0,0.0,73330.92,42537084.27500001,21599797.840792425,15652.043187177316,5626.488723221803,3.56,23.97057236656236,292.65996182236006,228,266,111,71,22.586801758056826,124.31099752386707,133.2545007864,84,7,5,-1.4135118999999998,-1.0344738000000002,2.3182583,2.0258794,0.03561678,-1.536197,-0.16466627,1.228101
7,110,73.39118349767362,1014.945385788714,7104.617700520998,1642.77911422189,2596.3199298534,1044.6713865405598,277.20597171936555,54.34368240000001,19.875238292,38,7,18.71158952167369,5.35238398875,245.9706903381,29.282196434998703,352.08333333333326,1027.8653846153843,0.0,0.5714285714285714,0.0,5244379.9173575705,5269290.921565035,0.0,0.0,0.15555555555555556,12.114599611202856,18.094082856929997,73,57,29,49,23.966788475020298,50.554905419609575,245.9706903381,59,2,10,-1.1075794,0.97463566,1.0937725,1.2422539,1.2522925,-0.45878983,0.97510564,-1.2744026000000002
4,20,0.5228909518323751,1.6147414735499999,6.4589658941999994,3.97103,5.1820292376,2.412539279560084,1.013213259358671,0.14402025,0.30538665660000003,20,4,0.0396190064842075,0.0262927665,0.18136965,0.04827521027786137,6280.633333333332,0.0,0.08,0.0,110.30299607695999,0.0,0.0,63.683331132188606,38.41480596282536,7.92,0.19027498395642528,2.596766343578,116,3,3,64,0.053307138303333335,31.409149133870372,0.13292402760000002,92,1,0,-2.5437434,-2.6702495,1.0151762,0.47857553,-3.1782205,-1.4779655,4.0824304,-2.6194103
2,16,3646.1230566562494,29825.989222500004,59651.97844500001,57306.85,57715.2,39441.300125422385,14309.785198763544,116.942616,1936.7784450000006,6,2,19.531568433350472,6.713411283180001,92.086532352936,24.50150531907618,1057.85,864.1818181818181,0.0,0.5,0.0,851469.6858552798,2133619.394679454,0.0,0.0,0.0,0.0,0.0,5,2,1,5,11.848324099748002,64.98039828343113,20.241611708296002,5,2,4,-1.7516653999999998,-0.14755657,1.3435817,0.60073936,0.9833087,-2.1388474,0.099683754,-1.4864495
16,122,330.64985494448865,2260.7051745064678,36171.282792103484,5239.542,10004.2531046226,3633.263423434689,815.5988550548865,2.004450769827921,52.178095609324,43,14,16.077617645523286,3.609044222844268,84.457899616,19.42024836983672,3630.916666666666,0.0,0.08695652173913042,0.0,4998.513551845183,0.0,0.0,12997.330382149541,1388.4043564053213,4.5,2.64823921490233,16.19845803507767,90,43,24,73,23.497357556158576,53.52554636925781,78.04586790702001,76,8,8,-1.4130406,0.7485025,1.8113968,1.4000454,0.2094913,-0.35832593,0.7916850000000001,0.007714405699999999
1,9,225.28390933333333,1742.45395,1742.45395,405.5110368,1742.45395,0.0,213.7230821040596,405.5110368,1742.45395,5,1,15.101960904352644,8.826098400000003,47.008308193199994,12.182590291374064,2703.9166666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,3,47.008308193199994,25.152952703649998,47.008308193199994,3,1,4,0.61612487,-1.9100574,3.4503598,-0.2579984,0.7956689,-2.094478,0.5954911999999999,-0.6440142
2,3,1312.8190040069667,1984.6429421207001,3969.2858842414003,2381.6295122760002,2424.0418776,621.4039338471266,1209.4192378700702,1556.8274997448998,1545.2440066414001,2,2,0.1189947277329052,0.12175002,0.1477182,0.047921818438886515,2381.833333333333,0.0,0.0,0.0,81541.8488579006,0.0,0.0,1689295.2273157598,5179.717627992217,374.0,0.1871150692997177,1.24238566452,1,1,1,1,0.06367298319871559,0.07402584930825419,0.06367298319871559,2,1,0,-0.5076215999999999,-0.20699747,1.7375215,-0.22676721,1.2994695,-0.47928634,1.334518,0.5021787999999999
